QE Live Gear Importer v1.3
questionablyepic.com/live - Addon based heavily on SimulationCraft
 
shaman="Peacemane"
level=70
race=Tauren
gender=0
region=
server=Whitemane
role=N/A
professions=N/A
talents=N/A
spec=N/A
 
head=,id=30190,enchantId=3003,gem1=32409:true,gem2=24058:true,gem3=0:nil
neck=,id=32591,enchantId=0,gem1=0:nil,gem2=0:nil,gem3=0:nil
shoulder=,id=30055,enchantId=2986,gem1=24027:true,gem2=0:nil,gem3=0:nil
chest=,id=32252,enchantId=2661,gem1=24027:true,gem2=24058:true,gem3=24054:true
waist=,id=30919,enchantId=0,gem1=0:nil,gem2=0:nil,gem3=0:nil
legs=,id=30898,enchantId=3012,gem1=0:nil,gem2=0:nil,gem3=0:nil
feet=,id=30104,enchantId=2939,gem1=24054:true,gem2=24027:true,gem3=0:nil
wrist=,id=32574,enchantId=2647,gem1=0:nil,gem2=0:nil,gem3=0:nil
hands=,id=32347,enchantId=684,gem1=0:nil,gem2=0:nil,gem3=0:nil
finger1=,id=29301,enchantId=0,gem1=0:nil,gem2=0:nil,gem3=0:nil
finger2=,id=32335,enchantId=0,gem1=0:nil,gem2=0:nil,gem3=0:nil
trinket1=,id=32491,enchantId=0,gem1=0:nil,gem2=0:nil,gem3=0:nil
trinket2=,id=29383,enchantId=0,gem1=0:nil,gem2=0:nil,gem3=0:nil
back=,id=33590,enchantId=368,gem1=0:nil,gem2=0:nil,gem3=0:nil
main_hand=,id=32262,enchantId=2673,gem1=0:nil,gem2=0:nil,gem3=0:nil
off_hand=,id=32262,enchantId=3225,gem1=0:nil,gem2=0:nil,gem3=0:nil
relic=,id=33507,enchantId=0,gem1=0:nil,gem2=0:nil,gem3=0:nil
ammo=,id=15997

### GEAR FROM BAGS ###
id=30194,count=1,enchantId=2986,gem1=24027:false,gem2=22459:true,gem3=0:nil
id=30185,count=1,enchantId=2661,gem1=30571:true,gem2=24054:true,gem3=24058:true
id=30192,count=1,enchantId=3012,gem1=24027:true,gem2=0:nil,gem3=0:nil
id=32399,count=1,enchantId=2647,gem1=0:nil,gem2=0:nil,gem3=0:nil
id=28506,count=1,enchantId=2984,gem1=22459:true,gem2=22459:true,gem3=0:nil
id=30061,count=1,enchantId=0,gem1=0:nil,gem2=0:nil,gem3=0:nil
id=34061,count=1,enchantId=0,gem1=0:nil,gem2=0:nil,gem3=0:nil
id=27658,count=20,enchantId=0,gem1=0:nil,gem2=0:nil,gem3=0:nil
id=30236,count=1,enchantId=0,gem1=0:nil,gem2=0:nil,gem3=0:nil
id=29434,count=128,enchantId=0,gem1=0:nil,gem2=0:nil,gem3=0:nil
id=33809,count=1,enchantId=0,gem1=0:nil,gem2=0:nil,gem3=0:nil
id=33999,count=1,enchantId=0,gem1=0:nil,gem2=0:nil,gem3=0:nil
id=18793,count=1,enchantId=0,gem1=0:nil,gem2=0:nil,gem3=0:nil
id=17030,count=5,enchantId=0,gem1=0:nil,gem2=0:nil,gem3=0:nil
id=19970,count=1,enchantId=0,gem1=0:nil,gem2=0:nil,gem3=0:nil
id=23758,suffix=35,unique=59,count=1,enchantId=3009,gem1=0:nil,gem2=0:nil,gem3=0:nil
id=32757,count=1,enchantId=0,gem1=0:nil,gem2=0:nil,gem3=0:nil
id=23824,count=1,enchantId=2939,gem1=0:nil,gem2=0:nil,gem3=0:nil
id=30345,count=1,enchantId=0,gem1=0:nil,gem2=0:nil,gem3=0:nil
id=31939,suffix=63,unique=34,count=1,enchantId=1441,gem1=0:nil,gem2=0:nil,gem3=0:nil
id=29550,count=1,enchantId=0,gem1=0:nil,gem2=0:nil,gem3=0:nil
